vocab,syn,morphs
가량,쯤; 정도,가량
료,"금, 비",료
률,율,률
비,"금, 료; 급진적, 급진적",비
율,률,율
쯤,가량,쯤
외,이외,외
가,가장자리; 액; 탈; 흐르다,가
가계,"살림, 살림살이",가계
가구,세대,가구
가급적가급적,되도록,가급적
가까스로,겨우; 겨우/간신히/근근이,가까스로
가꾸다,꾸미다,가꾸
가난,빈곤,가난
가냘프다,가녀리다; 가녀리다,가냘프
가느다랗다,가늘다; 가늘다,가느다랗
가늠,"눈대중, 어림짐작, 헤아리다; 짐작하다/판단하다/겨냥하다/헤아리다",가늠
가능,되다; 확률; 희망,가능
가다듬다,매만지다,가다듬
가동,작동,가동
가득히,가득; 가득,가득히
가뜩이나,"가뜩, 가뜩이",가뜩이나
가라앉다,진정되다,가라앉
가려내다,골라내다; 따지다; 따지다/골라내다,가려내
가렵다,간지럽다,가렵
가령,"예컨대, 이를테면",가령
가로가로,횡,가로
가로지르다,"건너다, 횡단하다; 넘어가다/횡단하다/건너다",가로지르
가로채다,빼앗다,가로채
가루,"분말, 분",가루
가르다,"나누다, 쪼개다; 나누다; 나누다",가르
가르침,"교수, 교육; 교육",가르침
가리다,막다; 구분하다,가리
가만,가만히; 가만히,가만
가만히,"가만; 가만; 가만; 몰래, 조용히; 그냥",가만히
가문,문벌,가문
가사,"집안일, 집일; 노랫말; 집안일",가사
가세,거들다,가세
가속,증속,가속
가시다,헹구다,가시
가열,"데우다, 익히다; 데우다/익히다",가열
가엾다,가엽다,가엾
가옥,집,가옥
가입,들다; 들어가다; 들어오다,가입
가장,호주; 가,가장
가전제품,가전,가전제품
가정주부,주부; 주부,가정주부
가중,더하다,가중
가지런히,나란히,가지런히
가책,책망,가책
가치,값어치,가치
가톨릭,"가톨릭교, 가톨릭교회",가톨릭
가파르다,비탈지다; 비탈지다,가파르
가하다,더하다,가하
가혹,"끔찍하다, 잔인하다, 참혹하다; 끔찍하다/혹독하다/심하다",가혹
각,"각도; 제각각제각각, 제각기제각기",각
각광,주목; 주목,각광
각기각기,"각각, 각각",각기
각도,각,각도
각박하다,야박하다,각박
각별하다,각별나다; 특별하다,각별
각별히,"남달리, 유달리",각별히
각본,극본,각본
각성,깨닫다,각성
각양각색,"가지각색, 형형색색",각양각색
각오,다짐; 결심/결정/투지/다짐,각오
각종,"각가지, 각색",각종
각지,각처,각지
간,"사이; 관계, 사이",간
간간이,"때때로, 이따금",간간이
간격,간극; 거리,간격
간과하다,지나치다,간과
간략하다,간단하다,간략
간밤,지난밤,간밤
간섭,"관여, 개입, 참견, 끼어들다; 거들다/개입하다",간섭
간소하다,"수수하다, 간편하다",간소
간신히,"가까스로 , 겨우; 겨우/가까스로/근근이",간신히
간절하다,절실하다; 절실하다,간절
간절히,절실히; 절실히,간절히
간주,여기다,간주
간지럽다,가렵다,간지럽
간직,보관,간직
간첩,"스파이, 첩자",간첩
간편하다,간소하다,간편
간호,간병,간호
간혹간혹,혹; 가끔/어쩌다가/때때로/이따금,간혹
갇히다,감금되다,갇히
갈다,"교체하다, 대체하다",갈
갈라지다,나뉘다,갈라지
갈망,"열망, 원하다",갈망
갈수록,"날로, 점점",갈수록
갈증,목마름,갈증
감,느낌; 느낌,감
감각,느낌,감각
감격,감동,감격
감금,가두다,감금
감당,해내다; 견디다; 처리하다/해내다/견디다,감당
감독,감시,감독
감동,"감명; 감격적, 감격적",감동
감량,"감소, 줄이다",감량
감명,감동,감명
감미롭다,달콤하다; 달다; 달콤하다,감미
감성,감수성,감성
감소,줄다; 줄다,감소
감수성,감성,감수성
감시,감독,감시
감안,"고려, 참작; 유 고려하다/참작하다",감안
감염,전염,감염
감옥,옥,감옥
감원,줄이다,감원
감지,느끼다,감지
감촉,촉감,감촉
감추다,숨기다,감추
감축,줄이다; 유 줄이다,감축
감하다,"빼다, 줄이다; 줄다",감하
갑갑하다,답답하다; 답답하다; 답답하다,갑갑
갑작스럽다,돌연하다,갑작스럽
값싸다,싸다,값싸
값어치,가치,값어치
값지다,"값비싸다, 귀하다",값지
갓,"금방, 막; 방금/처음",갓
강간,겁탈,강간
강국,강대국,강국
강대국,"강국, 강대국가",강대국
강도,세기; 도둑,강도
강렬하다,강하다,강렬
강물,강수,강물
강압,"압박, 억압",강압
강연,"강의, 강좌, 연설",강연
강의,"강연, 강좌, 가르치다",강의
강인하다,강하다,강인
강제적∙강제적,"강압적, 강압적",강제
강좌,"강연, 강의",강좌
갖은,온갖,갖은
갖추다,구비하다,갖추
개개인,개인,개개인
개관,열다,개관
개그,익살,개그
개다,개키다,개
개량,개선,개량
개발,계발; 발달/성장/발전,개발
개방,열다,개방
개봉,열다,개봉
개선,고치다,개선
개설,만들다; 만들다,개설
개신교,프로테스탄트,개신교
개업,열다,개업
개요,개략,개요
개운하다,"가볍다, 산뜻하다, 시원하다; 거뜬하다/시원하다/기뿐하다",개운
개인,개개인,개인
개입,"간섭, 관여, 참견, 끼어들다; 유 관여하다/끼어들다/간섭하다",개입
개장,열다,개장
개정,"변경, 수정, 고치다",개정
개조,"변경, 바꾸다",개조
개척,개간,개척
개최,"주최, 열다; 열다; 열리다",개최
개편,"개조, 변경, 고치다",개편
개혁,개변,개혁
객실,"객방, 빈실 , 손님방",객실
객지,타향,객지
거금,큰돈,거금
거닐다,걷다; 걷다,거닐
거동,움직임,거동
거들다,돕다,거들
거듭,"또, 재차; 끊임없이/재차/자꾸/연거푸",거듭
거뜬하다,쉽다; 가뜬하다,거뜬
거룩하다,"귀하다, 귀중하다, 성스럽다",거룩
거르다,여과하다,거르
거리,재료,거리
거만,거드름; 오만하다/도도하다/불손하다,거만
거부,거절; 거절,거부
거북이,거북,거북이
거북하다,"불편하다; 난처하다, 불편하다",거북
거세다,"거칠다, 세차다; 강하다",거세
거스르다,거역하다,거스르
거스름돈,잔돈,거스름돈
거액,"거금, 목돈",거액
거주,주거; 살다,거주
거주자,주민,거주자
거지,걸인,거지
거짓,허위,거짓
거처,거소,거처
거치다,"경유하다, 들르다; 통하다/뒤지다",거치
거칠다,거칠거칠하다; 척박하다; 거세다; 거세다; 세다; 험하다/험난하다,거칠
걱정거리,근심거리,걱정거리
걱정스럽다,"근심스럽다, 염려스럽다; 고민",걱정
꺾이다,부러지다,꺾이
건국,개국,건국
건기,건조기,건기
건널목,횡단보도; 횡단보도,건널목
건네다,주다,건네
건립,세우다; 세우다,건립
건설,건축,건설
건조,말리다,건조
건지다,구하다; 구원하다/꺼내다,건지
건축,"건설, 세우다",건축
건축가,"건축사, 건축자",건축가
건축물,건물,건축물
걸림돌,장애물; 방해/장애/장해,걸림돌
걸맞다,"알맞다, 어울리다, 적합하다",걸맞
걸작,명작,걸작
걸핏하면,툭하면,걸핏
검,칼; 까맣다; 까맣다; 까맣다,검
검거,잡다,검거
검사,검찰관,검사
검색,찾다; 찾다,검색
검진,진찰,검진
검찰,검찰청,검찰
겁나다,"두렵다, 무섭다; 무섭다",겁나
겁내다,"두려워하다, 무서워하다",겁내
겉모습,겉모양,겉모습
겉보기,외관,겉보기
